"venue_id","director_id","name","game_type","tournament_format","tournament_date","start_time","entry_fee","added_money","game_spot","race","table_size","equipment","number_of_tables","max_fargo","required_fargo_games","reports_to_fargo","open_tournament","calcutta","phone_number","description","timezone","side_pots","chip_ranges","thumbnail","is_recurring"
"127","47","8-Ball Split Bracket Tournament","8 Ball","double_elimination","2026-05-02","20:00","150","2000","","","","",,,,"true","true","false","","$150 entry includes $25 green fee. $2,000 added with full field. 128 player cap. Fargo reported. Split bracket format: Championship Bracket and Challenger Bracket. Players meeting Friday May 1 at 8PM. Handicap by Fargo: 0-399 = 3+1, 400-474 = 3, 475-524 = 4, 525-574 = 5, 575-624 = 6+1, 625-649 = 6, 650-674 = 7, 675-699 = 8, 700-749 = 9, 760+ = 9-1. Must be 21+. Located at 2367 E Stop 11 Rd, Indianapolis. Organized by Whoosier Action Tournaments. Live stream by Rack''em Joe.","America/New_York","","","","false"
"263","47","8-Man One Pocket - 700 & Under","One Pocket","2026-03-28","","200",,"700","","America/New_York","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"121","47","9 Ball - 499 & Under","9 Ball","2026-04-25","10:00","60","200","499","4076717797","America/New_York","","FALSE","FALSE","7ft","TRUE","false","false","false","","","","","","","false"
"121","47","9 Ball - 575 & Under","9 Ball","2026-04-04","10:00","65","100","575","4076717797","America/New_York","","FALSE","FALSE","7ft","TRUE","false","false","false","","","","","","","false"
"167","47","9 Ball Call 9 - 525 & Under","9 Ball","2026-03-21","12:00","150",,"525","","America/Chicago","","FALSE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"121","47","9 Ball Scotch Doubles - 1150 & Under","9 Ball Scotch Doubles","2026-03-21","10:00","100","900","1150","4076717797","America/New_York","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"179","47","9 Ball Scotch Doubles - 1150 & Under","9 Ball Scotch Doubles","2026-03-31","19:30","45",,"1150","","America/Los_Angeles","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"236","47","9 Ball Singles Tournament","9 Ball","2026-03-21","17:00","30",,,"7695725475","America/Chicago","","TRUE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"116","47","9-Ball Chip Tournament","9 Ball","double_elimination","2026-03-21","17:00","40",,"","","7ft","",,,,"false","true","false","6306217619","$40 entry standard, ladies $15. 100% payout. Chip system: 300 & under = 10 chips, 301-350 = 9, 351-400 = 8, 401-450 = 7, 451-500 = 6, 501-550 = 5, 551-600 = 4, 601+ = 3. 32 player cap. No early 9. No slop. Call all shots. No jumping. Push allowed. $100 last lady standing with 6+ ladies and full roster of 32. Payout: 1st $500, 2nd $250, 3rd $125, 4th $75, 5th-6th $40 (with full roster). Located at 900 Hill Avenue, Aurora IL 60505. Ph: 630-621-7619.","America/Chicago","","","","false"
"122","47","9-Ball Open Tournament","9 Ball","2026-04-19","12:00","50",,,"2293793060","America/New_York","","TRUE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"139","47","9-Ball Singles Chip Tournament","9 Ball","double_elimination","2026-03-21","13:00","20",,"","","7ft","",,,,"false","true","false","7204104419","$20 entry includes $5 green fee. Chip handicap system: 450 & Under = 8 chips, 451-500 = 7 chips, 501-550 = 6 chips, 551-600 = 5 chips, 601-650 = 4 chips, 651+ = 3 chips. Must have Fargo ready for TD. TD discretion of skill level if needed. 32 player max. No jumps. No 3-foul rule. No soft breaks. Sign-up 12 PM, start 1 PM. Contact: Collyce 720-410-4419. Organized by Queen Productions.","America/Denver","","","","false"
"107","47","9-Ball Singles Tournament","9 Ball","double_elimination","2026-03-28","12:00","40",,"","","7ft","",,,,"false","true","false","","$40 entry standard. APA skill level 4 & under pay $25. Double elimination. Races based on 8-Ball APA skill level: SL7 = race to 7, SL6 = race to 6, SL5 = race to 5, SL4 & under = race to 4. Fargo 620+ players allowed but go to 8 games. Alternate break. Registration 11AM, players meeting noon. Located at 934 County Road 2100 East, Greenup IL.","America/Chicago","","","","false"
"232","47","9-Ball Split","9 Ball","2026-03-21","12:00","80",,,"8329108209","America/Chicago","","TRUE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"144","47","ARK Monday Night 9-Ball Tournament","9 Ball","2026-03-23","19:30","25",,,"","America/New_York","weekly","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"123","47","Battle on the Barbox - 9 Ball Split Bracket","9 Ball","2026-05-30","11:00","100","1500",,"","America/Chicago","","FALSE","TRUE","7ft","TRUE","false","false","false","","","","","","","false"
"258","47","Big Sam's Barbox Bash","9 Ball","2026-03-28","10:30","50",,,"3345593029","America/Chicago","","FALSE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"214","47","Blind Draw Scotch Doubles 8-Ball","8 Ball Scotch Doubles","2026-03-21","19:00","20",,,"","America/New_York","","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"250","47","BYOP Scotch Doubles Tournament","9 Ball Scotch Doubles","double_elimination","2026-03-20","19:30","20",,"2/2","7ft","","",,,"1000","false","false","false","9189407799","$10 per player / $20 per team. Split quarters. Alternate break. Money added. 1000 & under combined Fargo cap. Races TBD on field, 2/2 minimum. Bring your own partner. Sign ups 6:30PM, play 7:30PM. Every Friday. Located at 1601 S Main St, Broken Arrow OK.","America/Chicago","","","","true"
"226","47","Cashin' Out Open 1 Pocket Tournament","One Pocket","2026-03-21","13:00","100",,,"","America/New_York","","FALSE","FALSE","9ft","FALSE","false","false","false","","","","","","","false"
"256","47","Friday 8-Ball Tournament","8 Ball","2026-03-20","19:00","10",,,"6628096141","America/Chicago","weekly","FALSE","TRUE","9ft","FALSE","false","false","false","","","","","","","false"
"148","47","Friday 8-Ball Tournament","8 Ball","2026-03-20","19:30","10",,,"","America/New_York","weekly","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"228","47","Friday 9-Ball Tournament","9 Ball","2026-03-20","20:00","10",,,"","America/New_York","weekly","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"269","47","Friday Night 8-Ball","8 Ball","2026-03-20","19:00","15",,,"","America/New_York","weekly","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"276","47","Friday Night 8-Ball - 699 & Under","8 Ball","2026-03-20","19:00","20",,"699","4195641200","America/New_York","weekly","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"267","47","Friday Night 8-Ball - Players Choice","8 Ball","2026-03-20","19:30","25",,,"","America/New_York","weekly","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"155","47","Friday Night 8-Ball Tournament","8 Ball","double_elimination","2026-03-20","19:30","20",,"3/2","7ft","","",,,"FALSE","true","false","false","$20 entry, green fee included. Bar adds money (amount not specified). Double elimination. Race to 3 on front, race to 2 on back. Modified BCA. No handicap. Sign up 6:30PM, start 7:30PM. Every Friday. Located at 6501 W Mississippi Ave, Lakewood CO 80226. Ph: 303-936-8513.","America/Denver","","","","weekly","false"
"134","47","Friday Night 9-Ball Handicapped Tournament","9 Ball","double_elimination","2026-03-20","19:30","30",,"","","7ft","",,,,"true","true","false","","$30 entry includes green fee. Optional $10 last entry standing side pot. Fargo reported. Double elimination. Winners side handicapped. Loser side races to 3. Alternate break. Rack your own. No slow play or 3 foul. Push outs allowed. 9 on snap gets spotted. No jump cues or extreme masse. Every 50 Fargo point difference = 1 game spot, max 3. 48 player max. Practice 6:30PM, check in by 7:15PM, play starts 7:30PM sharp. Every Friday. Message David Baggot on Facebook or YouTube @Cut Kings Billiards. Located at Q Pub and Grill, 2145 63rd St, Downers Grove IL 60516.","America/Chicago","","","","true"
"258","47","Friday Night 9-Ball Tournament","9 Ball","2026-03-20","20:00","20",,,"","America/Chicago","weekly","TRUE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"191","47","Friday Night Loss Tournament","9 Ball","double_elimination","2026-03-20","19:00","25",,"1","7ft","","",,,"FALSE","true","false","false","$25 entry includes green fee. Optional $10 extra loss buy (can only buy once). Loss tournament format ? winner stays up, race to 1, incoming player breaks. Weekly break n run pot. Sign up 6PM, starts 7PM. Every Friday. Organized by Josh and Alicia Ball. Located at 100 McMillan Drive, Spartanburg SC 29303.","America/New_York","","","","weekly","false"
"191","47","Friday Night Loss Tournament - 9 Ball","9 Ball","2026-03-20","19:00","25",,,"","America/New_York","weekly","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"141","47","Friday Night Open Handicapped 9-Ball Tournament","9 Ball","double_elimination","2026-03-20","19:30","20",,"","","7ft","Diamond",,,,"false","false","true","FALSE","7579953799","$20 entry. 10-Ball break and run side pot. 7ft Diamonds. Rack your own. 2 behind the 9. Alternate breaks. 9 on break does not count. 3 foul rule. No soft breaks. Magic rack. Handicap races: A = race to 4, B = race to 3, C = race to 2. Rankings at TD discretion. Signups 6:45PM, play starts 7:30PM. Every Friday. To sign up text or message Jesse on Facebook 757-995-3799. Located at 4828 14th Street West, Bradenton FL 34207.","America/New_York","","","false"
"261","47","Friday Open 9-Ball","9 Ball","2026-03-20","19:30","20",,,"9137805740","America/Chicago","weekly","TRUE","FALSE","7ft","TRUE","false","false","false","","","","","","","false"
"154","47","Friday Pool Tournament - 2 PM","8 Ball","double_elimination","2026-03-20","14:00","20",,"","","7ft","",,,,"false","true","false","7209092215","$20 entry. 8-Ball winner bracket / 9-Ball loser bracket format. Pharaoh's handicap system based on ability, Fargo, and APA ratings. After 11 PM: sudden death race 2/2. Weekly Friday event. Special event March 31: Rodney Morris & Corey Deuel ? be Corey's partner in scotch doubles, text to sign up. Text to sign up: 720-909-2215.","America/Denver","","","","true"
"154","47","Friday Pool Tournament - 7 PM","8 Ball","double_elimination","2026-03-20","19:00","20",,"","","7ft","",,,,"false","true","false","7209092215","$20 entry. 8-Ball winner bracket / 9-Ball loser bracket format. Pharaoh's handicap system based on ability, Fargo, and APA ratings. After 11 PM: sudden death race 2/2. Weekly Friday event. Special event March 31: Rodney Morris & Corey Deuel ? be Corey's partner in scotch doubles, text to sign up. Text to sign up: 720-909-2215.","America/Denver","","","","true"
"175","47","Handicapped 9-Ball Tournament","9 Ball","double_elimination","2026-03-22","15:00","25",,"","","7ft","",,,,"true","true","true","","$25 entry, $5 admin fee included. $10 optional side pot. Calcutta if 12+ players. A side worst race 5/3, B side worst race 4/3. 1 game spot per 50 point Fargo difference. Winner break. Fargo reported. Sign in 2PM, start 3PM. Located at 6531 Watauga Rd, Watauga TX 76148. Organized by Rack It and Stack It.","America/Chicago","","","","true"
"127","47","High Roller 600 & Under Fargo-Rated 8-Ball Tournament","8 Ball","double_elimination","2026-09-12","11:30","225",,"","","7ft","",,"600",,"true","false","true","","$225 entry includes all fees. Must pre-pay by Sept 4th ? Fargo locked in once paid. $50 minimum player auction (calcutta). 128 player cap. 600 & Under Fargo cap. BCA rules. Winner break. Rack your own. Race to 5, every 75 Fargo points higher must win an extra game up to 3 games max. Players meeting Friday Sept 11 at 8PM. Doors open Saturday 11AM, play starts 11:30AM. Located at John Wayne''s Pub and Eatery, Indianapolis IN. Organized by Hoosier Open 9-Ball Tour.","America/New_York","","","","false"
"266","47","High Rollers 10 Ball - 600 & Under","10 Ball","2026-03-29","15:00","200",,"600","","America/Los_Angeles","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"165","47","Humpday 10-Ball Tournament","10 Ball","2026-03-25","18:30","15",,,"","America/Denver","weekly","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"125","47","KC Cue Master","9 Ball","2026-03-27","11:00","1000",,"600","","America/Chicago","","FALSE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"156","47","Krome 9 Ball Open","9 Ball","2026-03-21","13:00","25","500",,"5017710968","America/Chicago","","TRUE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"208","47","Ladies 9-Ball Tournament","9 Ball","2026-04-04","13:00","50",,,"2706120728","America/Chicago","","FALSE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"274","47","LSB Friday 9-Ball","9 Ball","2026-03-20","19:00","20",,,"4087397665","America/Los_Angeles","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"120","47","Luck of the Roll - 9 Ball 600 & Under","9 Ball","2026-03-28","11:00","60",,"600","7273379070","America/New_York","","FALSE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"161","47","Mixed Format 9/10-Ball Tournament","9 Ball","2026-03-22","09:00","60","500",,"","America/New_York","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"195","47","Monday Night 8-Ball Tournament","8 Ball","double_elimination","2026-03-23","19:30","21",,"","","7ft","",,,,"false","true","false","","$21 entry. House adds money (amount not specified). Break & run pot. Sign-ups 7:30PM. All ages until 8PM, 18+ after 8PM with valid ID. Open noon-2AM. Every Monday.","America/Chicago","","","","true"
"247","47","Monday Night 9-Ball - 650 & Under","9 Ball","2026-03-23","19:00","15","200","650","","America/New_York","weekly","FALSE","FALSE","9ft","FALSE","false","false","false","","","","","","","false"
"129","47","Monthly Handicapped 9-Ball Tournament","9 Ball","double_elimination","2026-03-21","12:00","65","500","","","","Diamond","16",,,"false","false","true","","$65 men, $55 women, both include $5 green fee. $500 added with 64 players, $250 added with 32 players. Handicapped. Winner breaks. 9 on the spot. No 3 foul. 9 doesn't count on break. Must call the 9. Played on 16 Diamond bar tables. Auction starts 12PM. Monthly event. Contact John Hutchinson for info. Located at Diamond Billiards, Jacksonville FL.","America/New_York","","","","true"
"234","47","Nineball Shootout Saturdays","9 Ball","double_elimination","2026-03-21","20:00","20",,"3","7ft","Diamond","",,,,"false","true","false","4708526078","$20 entry includes $5 green fee. $10 optional side pot. Bar adds $10 per player with 10+ players. Last lady paid with 3 or more females. Race to 3. BCA rules. 7ft Diamonds. Sign ups 7PM, starts 8PM. Every Saturday. Contact: 470-852-6078. Organized by Skull Smashers Billiards. Located at 14039 FM-2100, Crosby TX 77532.","America/Chicago","","","","true"
"186","47","Open 9 Ball Tournament","9 Ball","2026-04-04","12:00","00:00",,,"","America/Los_Angeles","","FALSE","FALSE","7ft","TRUE","false","false","false","","","","","","","false"
"141","47","Open Banks Tournament","Banks","double_elimination","2026-03-21","11:00","70","200","","3","9ft","",,,,"false","false","true","7579953799","$60 entry + $10 greens fee. $200 added with 20 players. Player auction at 11AM. True double elimination. Race to 3 both sides. No handicaps. No required Fargo. Played on 9ft tables. Modified Derby rules. Flip for first break, alternate break. No jump cues. No combos/kicks/carams. Call all shots and rails. Signups 10AM, auction 11AM. To sign up text or message Jesse on Facebook 757-995-3799. Located at 4828 14th Street West, Bradenton FL 34207.","America/New_York","","","","false"
"263","47","Open Handicap 10-Ball","10 Ball","2026-03-28","","10",,,"","America/New_York","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"138","47","Open Scotch Doubles","8 Ball Scotch Doubles","double_elimination","2026-04-04","12:00","130",,"","","7ft","",,,,"false","true","false","7204104419","$130 entry per team, includes green fee. Two-game match format: Race to 5 8-Ball and Race to 5 9-Ball. No Fargo cap, no spot. Modified BCA rules. Sign-ups 11 AM, player's meeting 12 PM. Contact Collyce to sign up: 720-410-4419. Organized by Queen Productions.","America/Denver","","","","false"
"242","47","Pensacola APA Masters Road to Vegas","9 Ball","2026-04-11","13:00","45",,,"","America/New_York","","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"145","47","Pool Tournament Showdown","8 Ball","double_elimination","2026-03-20","20:00","20",,"","","7ft","",,,,"false","false","false","","$20 per team buy-in. Modified APA format. Max APA Skill Level 11 (combined team). Winners side: 8-Ball race to 2. Losers side: 9-Ball race to 2. Break & run pot: $2,753 (progressive). Non-smoking during tournament. Tournament Director: Paolo Yalan. Sign-ups 7:30 PM.","America/New_York","","","","false"
"139","47","Rumble in the Jungle Women's Pool Tournament","8 Ball","double_elimination","2026-04-17","00:00",,"50","","","","7ft",,,,"false","false","false","TRUE","7206911996","$50 entry + optional $10 side pot. 100% payback. No admin fees. Women only. Calcutta on final 16. 8-Ball front and back side. Skill level races: AA = 6, A = 5, B = 4, C = 3. Payments due by April 10, 2026 to avoid $15 late fee. Refunds not provided after April 14th. 3-day event April 17-19. Sign up by texting Benerito 720-691-1996. Located at Zoosters Pub & Pool, Broomfield CO.","America/Denver","","","false"
"191","47","Saturday Loss Tournament - 8 Ball","8 Ball","2026-03-21","17:30","25",,,"","America/New_York","weekly","TRUE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"119","47","Saturday Night 9-Ball Tournament","9 Ball","double_elimination","2026-03-21","20:30","10",,"4/4","7ft","","",,,"FALSE","true","false","false","Staggered entry: 500 & under = $10, 501-575 = $15, 576-650 = $20. BCA rules. Race 4/4. 1 game spot worst race 4/2 for every 50 Fargo points. Bar adds $5 per player ? $100 added with 16 players up to $200 max. Break & run pot. Sign ups 8PM, starts 8:30PM. Every Saturday. Located at 112 Southeast Pkwy, Azle TX 76020.","America/Chicago","","","","weekly","false"
